,State,City,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Latitude,Longitude
481,Wisconsin,Green Bay,WPNE,FM,89.3,@wispublictv,,44.5133188,-88.0132958
482,Wisconsin,Hayward,WOJB,FM,88.9,@wojb,,46.0130065,-91.4846208
483,Wisconsin,Highland,WHHI,FM,91.3,@wpr,,43.0466579,-90.3798465
486,Wisconsin,La Crosse,WLSU,FM,88.9,@wpr,,43.8137751,-91.25190169999999
487,Wisconsin,Madison,WERN,FM,88.7,@wpr,,43.0730517,-89.4012302
488,Wisconsin,Madison,WHA,AM,970.0,@wpr,,43.0730517,-89.4012302
489,Wisconsin,Madison,WSHS,FM,91.7,@wpr,,43.0730517,-89.4012302
490,Wisconsin,Sheboygan,WSHS,FM,91.7,@wpr,,43.7508284,-87.71453
491,Wisconsin,Menomonie,WHWC,FM,88.3,@wpr,,44.8755183,-91.9193422
492,Wisconsin,Menomonie,WVSS,FM,90.7,@wpr,,44.8755183,-91.9193422
493,Wisconsin,Milwaukee,WUWM,FM,89.7,@wuwmradio,,43.0389025,-87.9064736
494,Wisconsin,Oshkosh,WRST,FM,90.3,@wrstfm,,44.0247062,-88.5426136
495,Wisconsin,Park Falls,WHBM,FM,90.3,@wpr,,45.9343981,-90.4415527
496,Wisconsin,Rhinelander,WXPR,FM,91.7,@wxpr,,45.6366228,-89.4120753
497,Wisconsin,River Falls,WRFW,FM,88.7,@wrfwfm,,44.8613563,-92.6238082
498,Wisconsin,Sister Bay,WHDI,FM,91.1,@wpr,,45.1872112,-87.12094499999999
499,Wisconsin,Sister Bay,WHND,FM,89.7,@wpr,,45.1872112,-87.12094499999999
500,Wisconsin,Superior,KUWS,FM,91.3,@wpr,,46.7207737,-92.10407959999999
501,Wisconsin,Wausau,WHRM,FM,90.9,@wpr,,44.9591352,-89.6301221
502,Wisconsin,Wausau,WLBL,FM,91.9,@wpr,,44.9591352,-89.6301221
505,Wisconsin,Milwaukee,WYMS,FM,88.9,@RadioMilwaukee,,43.0389025,-87.9064736
506,Wyoming,Afton,KUWA,FM,91.3,@WYpublicradio,,42.7249282,-110.9318687
507,Wyoming,Buffalo,KBUW,FM,90.5,@WYpublicradio,,44.3483072,-106.6989375
508,Wyoming,Casper,KUWC,FM,91.3,@WYpublicradio,,42.8500769,-106.3251749
510,Wyoming,Gillette,KUWG,FM,90.9,@WYpublicradio,,44.2910915,-105.5022205
511,Wyoming,Jackson,KUWJ,FM,90.3,@WYpublicradio,,43.4799291,-110.7624282
512,Wyoming,Laramie,KUWR,FM,91.9,@WYpublicradio,,41.3113669,-105.5911007
521,Texas,Lufkin,KLDN,FM,88.9,@881TheOne,,31.3382406,-94.729097
522,Pennsylvania,Pittsburgh,WDUQ,FM,90.5,@905wesa,,40.44062479999999,-79.9958864
523,Ohio,Cincinnati,WGUC,FM,90.9,@909WGUC,,39.1031182,-84.5120196
524,Texas,Beaumont,KVLU,FM,91.3,@913KVLU,,30.080174,-94.1265562
525,Ohio,Cincinnati,WVXU,FM,91.7,@917wvxu,,39.1031182,-84.5120196
526,Virginia,Norfolk,WHRV,FM,89.5,@hot91,,36.8507689,-76.28587259999999
527,Texas,Houston,KUHF,FM,88.7,@HoustonPubMedia,@HoustonPubMedia,29.7604267,-95.3698028
528,Texas,Abilene,KACU,FM,89.7,@KACU895,,32.4487364,-99.73314390000002
529,Texas,College Station,KAMU,FM,90.9,@KAMUTVFM,,30.627977,-96.3344068
530,Washington,Bellingham,KZAZ,FM,91.7,@KCBS,,48.7519112,-122.4786854
531,Oklahoma,Lawton,KCCU,FM,89.3,@KCCURadio,,34.6035669,-98.39592909999999
532,Utah,Logan,KUSU,FM,91.5,@KCPW,,41.7369803,-111.8338359
533,Utah,Salt Lake City,KCPW,FM,88.3,@KCPWRadio,,40.7607793,-111.8910474
534,Texas,College Station,KEOS,FM,89.1,@KEOSRADIO,,30.627977,-96.3344068
535,Texas,Dallas,KERA,FM,90.1,@keranews,(@keratx),32.7766642,-96.79698789999999
536,Texas,Dallas,KERA,FM,90.1,@keratx,,32.7766642,-96.79698789999999
537,Washington,Richland,KFAE,FM,89.1,@kexp,,46.28042000000001,-119.2751996
538,Oklahoma,Norman,KGOU,FM,106.3,@kgounews,,35.2225668,-97.4394777
539,Oregon,Eugene,KLCC,FM,89.7,@KLCCEugeneOR,,44.0520691,-123.0867536
540,Oregon,Gresham,KMHD,FM,89.1,@KMHD_JAZZ_Radio,,45.5059203,-122.4486119
541,Texas,Denton,KNTU,FM,88.1,@KNTU881,,33.2148412,-97.13306829999999
542,Oklahoma,Stillwater,KOSU,FM,91.7,@KOSURadio,,36.1156071,-97.0583681
543,Washington,Spokane,KSFC,FM,91.9,@KPLUpr,,47.6587802,-117.4260465
544,Texas,Odessa,KOCV,FM,91.3,@KPVU913FM,,31.8456816,-102.3676431
545,Utah,Salt Lake City,KUER,FM,90.1,@KRCLradio,,40.7607793,-111.8910474
546,Texas,El Paso,KTEP,FM,88.5,@ktep885fm,,31.7618778,-106.4850217
547,Utah,Salt Lake City,KPCW,FM,91.9,@KUER_FM,,40.7607793,-111.8910474
548,Washington,Seattle,KEXP,FM,90.3,@KUOW,,47.6062095,-122.3320708
549,Texas,Austin,KUT,FM,90.5,@KUT,,30.267153,-97.7430608
550,Texas,Prairie View,KPVU,FM,91.3,@KUTX,,30.0932737,-95.9877339
551,Texas,Victoria,KVRT,FM,90.7,@KWBU,,28.8052674,-97.0035982
552,Oklahoma,Tulsa,KWGS,FM,89.5,@KWGSNEWS,,36.1539816,-95.99277500000001
553,Texas,Harlingen,KMBH,FM,88.9,@PublicRadio88FM,,26.1906306,-97.69610259999999
554,Washington,Bellevue,KBCS,FM,91.3,@radio905,,47.6101497,-122.2015159
555,Puerto Rico,Rio Piedras,WRTU,FM,89.7,@radioupr,,18.3831308,-66.0656843
556,South Carolina,Aiken,WLJK,FM,89.1,@SCPublicRadio,,33.5604168,-81.7195533
557,South Carolina,Beaufort,WJWJ,FM,89.9,@SCPublicRadio,,32.4315813,-80.6698286
558,South Carolina,Charleston,WSCI,FM,89.3,@SCPublicRadio,,32.7764749,-79.93105120000001
559,South Carolina,Columbia,WLTR,FM,91.3,@SCPublicRadio,,34.0007104,-81.0348144
560,South Carolina,Conway,WHMC,FM,90.1,@SCPublicRadio,,33.8360034,-79.0478143
561,South Carolina,Greenville,WEPR,FM,90.1,@SCPublicRadio,,34.85261759999999,-82.3940104
562,South Carolina,Orangeburg,WSSB,FM,90.3,@SCPublicRadio,,33.4918203,-80.8556476
563,South Carolina,Rock Hill,WNSC,FM,88.9,@SCPublicRadio,,34.9248667,-81.02507840000001
564,Virginia,Roanoke,WVTF,FM,89.1,@Uva_Wise,,37.2709704,-79.9414266
565,Ohio,Columbus,WCBE,FM,90.5,@WCBE905Columbus,,39.9611755,-82.99879419999999
566,Ohio,Cleveland,WCPN,FM,90.3,@WCPN,,41.49932,-81.6943605
567,Virginia,Norfolk,WNSB,FM,91.1,@wcve,,36.8507689,-76.28587259999999
568,Pennsylvania,Allentown,WDIY,FM,88.1,@WDIYFM,,40.6022939,-75.4714098
569,Tennessee,Johnson City,WETS,FM,89.5,@WETSFM,,36.3134397,-82.3534727
570,Virginia,Marion,WVTR,FM,91.9,@WHRO,,36.8348383,-81.5148368
571,Virginia,Norfolk,WHRO,FM,90.3,@whrvfm,,36.8507689,-76.28587259999999
572,Pennsylvania,Philadelphia,WHYY,FM,90.9,@whyy,,39.9525839,-75.1652215
573,Pennsylvania,Harrisburg,WITF,FM,89.5,@WITF,,40.2731911,-76.8867008
574,Tennessee,Memphis,WKNO,FM,91.1,@WKNOFM,,35.1495343,-90.0489801
575,Ohio,Kent,WKSU,FM,89.7,@WKSU,,41.1536674,-81.3578859
576,US Virgin Islands,St. Thomas,WVGN,FM,107.3,@WKUF943,,18.3380965,-64.8940946
577,Virginia,Christiansburg,WWVT,AM,1260.0,@WMLUradio,,37.1298517,-80.4089389
578,Tennessee,Murfreesboro,WMOT,FM,89.5,@WMOT,,35.8456213,-86.39027
579,Virginia,Farmville,WMLU,FM,91.3,@WMRAPublicRadio,,37.3020965,-78.3919401
580,Puerto Rico,San Juan,WOSO,AM,1030.0,@WOSO1030AM,,18.4655394,-66.1057355
581,Ohio,Columbus,WOSU,AM,820.0,@WOSU,,39.9611755,-82.99879419999999
582,Ohio,Cambridge,WOUC,FM,89.1,@wouc,,40.031183,-81.5884561
583,Tennessee,Madison,WPLN,AM,1430.0,@WPLN,,36.25620019999999,-86.7143516
584,Tennessee,Nashville,WPLN,FM,90.3,@WPLN,,36.1626638,-86.7816016
585,Pennsylvania,State College,WPSU,FM,91.5,@WPSU,,40.7933949,-77.8600012
586,Pennsylvania,Johnstown,WQEJ,FM,89.7,@wqed,,40.32674069999999,-78.9219698
587,Pennsylvania,Pittsburgh,WQED,FM,89.3,@WQEDFM,,40.44062479999999,-79.9958864
588,Pennsylvania,Erie,WQLN,FM,91.3,@WQLN,,42.12922409999999,-80.085059
589,Pennsylvania,Philadelphia,WRTI,FM,90.1,@WRTImusic,,39.9525839,-75.1652215
590,Vermont,Bennington,WBTN,FM,94.3,@WRUVFM,,42.8781345,-73.1967741
591,Tennessee,Knoxville,WUOT,FM,91.9,@WUOTFM,,35.9606384,-83.9207392
592,Tennessee,Chattanooga,WUTC,FM,88.1,@WUTC_FM,,35.0456297,-85.3096801
593,Virginia,Richmond,WCVE,FM,88.9,@WVFTRADIOIQ,,37.5407246,-77.4360481
594,Pennsylvania,Scranton,WVIA,FM,89.9,@WVIATVFM,,41.408969,-75.66241219999999
595,Pennsylvania,Philadelphia,WXPN,FM,88.5,@wxpnfm,,39.9525839,-75.1652215
596,Pennsylvania,Pittsburgh,WYEP,FM,91.3,@WYEP,,40.44062479999999,-79.9958864
597,Ohio,Yellow Springs,WYSO,FM,91.3,@WYSO,,39.8064486,-83.88687399999999
598,Ohio,Youngstown,WYSU,FM,88.5,@WYSU,,41.0997803,-80.6495194
599,Texas,Corpus Christi,KEDT,FM,90.3,@YourKEDT,,27.8005828,-97.39638099999999
600,California,Northridge,KCSN,FM,88.5,@885fmsocal,,34.2381251,-118.530123
601,Kentucky,Richmond,WEKU,FM,88.9,@889weku,,37.7478572,-84.2946539
602,Alaska,McGrath,KSKO,AM,870.0,@89point5_KSKO,,62.9532043,-155.5959922
603,California,Pacific Grove,KAZU,FM,90.3,@903kazu,,36.6177374,-121.9166215
604,California,Arcata,KHSU,FM,90.5,@905khsu,,40.8665166,-124.0828396
605,Indiana,Goshen,WGCS,FM,91.1,@911TheGlobe,,41.5822716,-85.8344383
606,Alabama,Muscle Shoals,WQPR,FM,88.7,@Alpublicradio,,34.7448112,-87.66752919999999
607,Alabama,Selma,WAPR,FM,88.3,@Alpublicradio,,32.4073589,-87.02110069999999
608,Alabama,Tuscaloosa,WUAL,FM,91.5,@Alpublicradio,,33.2098407,-87.56917349999999
609,Colorado,Aspen,KAJX,FM,91.5,@aspenpubradio,,39.1910983,-106.8175387
610,Arizona,Tucson,KUAZ,AM,1550.0,@azpm,,32.2226066,-110.9747108
611,Arizona,Tucson,KUAZ,FM,89.1,@azpm,,32.2226066,-110.9747108
612,Arizona,Flagstaff,KPUB,FM,91.7,@AZPubRadio,,35.1982836,-111.651302
613,Arizona,Flagstaff,KNAU,FM,88.7,@AZPubRadio,,35.1982836,-111.651302
614,Arizona,Grand Canyon,KNAG,FM,90.3,@AZPubRadio,,36.1069652,-112.1129972
615,Arizona,Prescott,KNAQ,FM,89.3,@AZPubRadio,,34.5400242,-112.4685025
616,Arizona,Show Low,KNAA,FM,90.7,@AZPubRadio,,34.2542084,-110.0298327
617,Idaho,Twin Falls,KBSW,FM,91.7,@BSX915,,42.5558381,-114.4700518
618,Idaho,Rexburg,KBYI,FM,100.5,@byuidahoradio,,43.8231096,-111.7924237
619,California,Stockton,KUOP,FM,91.3,@capradionews,,37.9577016,-121.2907796
620,California,Tahoe City,KKTO,FM,90.5,@capradionews,,39.1677134,-120.1451812
621,California,Sacramento,KXJZ,FM,88.9,@capradionews,,38.5815719,-121.4943996
622,California,Sacramento,KXPR,FM,90.9,@capradionews,,38.5815719,-121.4943996
623,California,Los Angeles,KUSC,FM,91.5,@classicalkusc,,34.0522342,-118.2436849
624,California,Santa Barbara,KFAC,FM,88.7,@Classicalkusc,,34.4208305,-119.6981901
625,Illinois,DeKalb,WNIU,FM,90.5,@classicalwniu,,41.9294736,-88.75036469999999
626,Colorado,Boulder,KCFC,AM,1490.0,@copublicradio,,40.0149856,-105.2705456
627,Colorado,Montrose,KPRH,FM,88.3,@copublicradio,,38.4783198,-107.8761738
628,Colorado,Pueblo,KCFP,FM,91.9,@copublicradio,,38.2544472,-104.6091409
629,Colorado,Pueblo,KKPC,AM,1230.0,@copublicradio,,38.2544472,-104.6091409
630,Colorado,Vail,KPRE,FM,89.9,@copublicradio,,39.6402638,-106.3741955
631,Colorado,Delta,KPRU,FM,103.3,@cprclassical,,38.7422062,-108.0689582
632,Colorado,Denver,KCFR,AM,1340.0,@cprclassical,,39.7392358,-104.990251
633,Colorado,Denver,KVOD,FM,90.1,@cprclassical,,39.7392358,-104.990251
634,Georgia,Warm Springs,WJSP,FM,88.1,@gpbnewmedia,,32.8904081,-84.6810381
635,Georgia,Augusta,WACG,FM,90.7,@gpbradioaugusta,,33.4734978,-82.0105148
636,Georgia,Savannah,WSVH,FM,91.1,@gpbsavannah,,32.0835407,-81.09983419999999
637,Georgia,Tifton,WABR,FM,91.1,@gpbsavannah,,31.4504629,-83.5084973
638,Kansas,Garden City,KANZ,FM,91.1,@hppr,,37.9716898,-100.8726618
639,Kansas,Hill City,KZNA,FM,90.5,@hppr,,39.3647281,-99.8420649
640,Indiana,Anderson,WBSB,FM,89.5,@INPublicRadio,,40.1053196,-85.6802541
641,Indiana,Hagerstown,WBSH,FM,91.1,@INPublicRadio,,39.9111576,-85.1616315
642,Indiana,Marion,WBSW,FM,90.9,@INPublicRadio,,40.5583739,-85.6591442
643,Indiana,Muncie,WBST,FM,92.1,@INPublicRadio,,40.1933767,-85.3863599
644,Indiana,Portland,WBSJ,FM,91.7,@INpublicradio,,40.43448950000001,-84.9777455
645,Iowa,Ames,WOI,AM,640.0,@iowapublicradio,,42.0307812,-93.63191309999999
646,Iowa,Ames,WOI,FM,90.1,@iowapublicradio,,42.0307812,-93.63191309999999
647,Iowa,Cedar Falls,KUNI,FM,90.9,@iowapublicradio,,42.5348993,-92.4453161
648,Iowa,Iowa City,WSUI,AM,910.0,@iowapublicradio,,41.6611277,-91.5301683
649,Iowa,Iowa City,KSUI,FM,91.7,@iowapublicradio,,41.6611277,-91.5301683
650,Iowa,Mason City,KRNI,AM,1010.0,@iowapublicradio,,43.1535728,-93.20103669999999
651,Michigan,Interlochen,WIAA,FM,88.7,@IPRNewsRadio,,44.64537379999999,-85.7676077
652,Michigan,Traverse City,WICA,FM,91.5,@iprnewsradio,,44.7630567,-85.62063169999999
653,Iowa,Cedar Rapids,KCCK,FM,88.3,@jazz883kcck,,41.9778795,-91.6656232
654,Georgia,Atlanta,WCLK,FM,91.9,@Jazz919WCLKatl,,33.7489954,-84.3879824
655,California,San Francisco,KALW,FM,91.7,@kalw,,37.7749295,-122.4194155
656,Arkansas,Jonesboro,KASU,FM,91.9,@kasuradio,,35.84229670000001,-90.704279
657,Arizona,Yuma,KAWC,FM,88.9,@kawc,,32.6926512,-114.6276916
658,Arizona,Yuma,KAWC,AM,1320.0,@kawc,,32.6926512,-114.6276916
659,Minnesota,Grand Rapids,KAXE,FM,91.7,@KAXE,,47.2371658,-93.53021419999999
660,Arizona,Phoenix,KBAQ,FM,89.5,@kbaq,,33.4483771,-112.0740373
661,Alaska,Homer,KBBI,AM,890.0,@KBBINews,,59.64250000000001,-151.5483333
662,Missouri,Columbia,KBIA,FM,91.3,@kbia,,38.9517053,-92.3340724
663,Montana,Bozeman,KBMC,FM,102.1,@kbmc,,45.6769979,-111.0429339
664,Idaho,Boise,KBSU,FM,90.3,@kbsu903,,43.6187102,-116.2146068
665,Idaho,Boise,KBSU,AM,730.0,@kbsu903,,43.6187102,-116.2146068
666,Idaho,Boise,KBSX,FM,91.5,@kbsx915,,43.6187102,-116.2146068
667,Idaho,McCall,KBSM,FM,91.7,@KBSX915,,44.906183,-116.1171311
668,Colorado,Crested Butte,KBUT,FM,90.3,@kbutradio,,38.8697146,-106.9878231
669,California,San Luis Obispo,KCBX,FM,90.1,@kcbxfm,,35.2827524,-120.6596156
670,Alaska,McCarthy,KXKM,FM,89.7,@kchuradio,,61.4333333,-142.9216667
671,Alaska,Valdez,KCHU,AM,770.0,@kchuradio,,61.13083330000001,-146.3483334
672,California,Thousand Oaks,KCLU,FM,88.3,@kclulive,,34.1705609,-118.8375937
673,California,Indio,KCRI,FM,89.3,@kcrw,,33.7205771,-116.2155619
674,California,Oxnard,KCRU,FM,89.1,@kcrw,,34.1975048,-119.1770516
675,California,Santa Monica,KCRW,FM,89.9,@kcrw,,34.0194543,-118.4911912
676,California,Santa Monica,KCRW,FM,89.9,@kcrw,,34.0194543,-118.4911912
677,California,San Mateo,KCSM,FM,91.1,@kcsmjazz91,,37.5629917,-122.3255254
678,Missouri,Kansas City,KCUR,FM,89.3,@kcur,,39.0997265,-94.5785667
679,Alaska,Dillingham,KDLG,AM,670.0,@kdlgradio,,59.03972219999999,-158.4575
680,Colorado,Carbondale,KDNK,FM,90.5,@kdnkradio,,39.4022054,-107.2111628
681,Louisana,Monroe,KEDM,FM,90.3,@kedmpublicradio,,32.5093109,-92.1193012
682,Montana,Billings,KEMC,FM,91.7,@kemc,,45.7832856,-108.5006904
683,Alaska,Petersburg,KFSK,FM,100.9,@KFSK1,,56.8125,-132.9555556
684,Alaska,Haines,KHNS,FM,102.3,@KHNS_FM,,59.2358333,-135.445
685,California,Long Beach,KKJZ,FM,88.1,@kjazz881,,33.7700504,-118.1937395
686,Arizona,Phoenix,KJZZ,FM,91.5,@kjzzphoenix,,33.4483771,-112.0740373
687,Kansas,Wichita,KMUW,FM,89.1,@kmuw,,37.68717609999999,-97.33005299999999
688,Alaska,Kodiak,KMXT,FM,100.1,@kmxtnews,,57.79000000000001,-152.4072221
689,Montana,Havre,KNMC,FM,90.1,@KNMCradio,,48.549999,-109.6840887
690,Missouri,Columbia,KOPN,FM,89.5,@kopnfm,,38.9517053,-92.3340724
691,Colorado,Telluride,KOTO,FM,91.7,@koto_radio,,37.9374939,-107.8122852
692,California,San Diego,KPBS,FM,89.5,@kpbsnews,,32.715738,-117.1610838
693,California,Pasadena,KPCC,FM,89.3,@kpcc,,34.1477849,-118.1445155
694,California,Pasadena,KPCC,FM,89.3,@kpcc,,34.1477849,-118.1445155
695,California,North Hollywood,KPFK,FM,90.7,@KPFK,,34.187044,-118.3812562
696,Guam,Agana,KPRG,FM,89.3,@kprgfm,,13.4762824,144.7502228
697,Kansas,Emporia,KANH,FM,89.7,@kprnews,,38.403903,-96.18166260000001
698,Kansas,Lawrence,KANU,FM,91.5,@kprnews,,38.9716689,-95.2352501
699,California,San Francisco,KQED,FM,88.5,@kqed,,37.7749295,-122.4194155
700,Alaska,Ketchikan,KRBD,FM,105.9,@KRBDRadio,,55.34222219999999,-131.6461112
701,California,Santa Rosa,KRCB,FM,91.1,@krcbtv22,,38.440429,-122.7140548
702,Colorado,Colorado Springs,KRCC,FM,91.5,@krcc,,38.8338816,-104.8213634
703,Missouri,Cape Girardeau,KRCU,FM,90.9,@krcufm,,37.3058839,-89.51814759999999
704,Kansas,Pittsburg,KRPS,FM,89.9,@krps899,,37.410884,-94.70496
705,Louisana,Lafayette,KRVS,FM,88.7,@krvsmedia,,30.2240897,-92.0198427
706,Colorado,Alamosa,KRZA,FM,88.7,@krzaradio,,37.4694491,-105.8700214
707,Colorado,Cortez,KSJD,FM,91.5,@ksjdradio,,37.3488827,-108.5859265
708,Alaska,Anchorage,KSKA,FM,91.1,@kska,,61.2180556,-149.9002778
709,California,Palm Springs,KPSC,FM,88.5,@kspc,,33.8302961,-116.5452921
710,Alaska,Wrangell,KSTK,FM,101.7,@kstkradio,,56.4708333,-132.3766666
711,Colorado,Ignacio,KSUT,FM,91.3,@ksut,,37.1150037,-107.633113
712,Alaska,Talkeetna,KTNA,FM,88.5,@ktna,,62.32090460000001,-150.1066221
713,Alaska,Juneau,KTOO,FM,104.3,@KTOOpubmedia,,58.3019444,-134.4197221
714,Alaska,Fairbanks,KUAC,FM,89.9,@kuacfmtv,,64.8377778,-147.7163888
715,Arkansas,Fayetteville,KUAF,FM,91.3,@kuaf,,36.082156,-94.17185420000001
716,Arkansas,Little Rock,KUAR,FM,89.1,@kuarpublicradio,,34.7464809,-92.28959479999999
717,Colorado,Greeley,KUNC,FM,91.5,@kunc,,40.4233142,-104.7091322
718,California,Santa Cruz,KUSP,FM,88.9,@kusp,,36.9741171,-122.0307963
719,Colorado,Denver,KUVO,FM,89.3,@kuvojazz,,39.7392358,-104.990251
720,California,San Bernardino,KVCR,FM,91.9,@kvcr_tvfm,,34.1083449,-117.2897652
721,Colorado,Montrose,KVMT,FM,89.1,@kvnfradio,,38.4783198,-107.8761738
722,Colorado,Paonia,KVNF,FM,90.9,@kvnfradio,,38.8683204,-107.5920017
723,California,Bakersfield,KPRX,FM,89.1,@kvpr,,35.3732921,-119.0187125
724,California,Fresno,KVPR,FM,89.3,@kvpr,,36.7377981,-119.7871247
725,Iowa,Sioux City,KWIT,FM,90.3,@kwitkoji,,42.4999942,-96.40030689999999
726,Missouri,Maryville,KXCV,FM,90.5,@kxcvkrnw,,40.3461017,-94.8724706
727,Alaska,Barrow,KBRW,AM,680.0,@kyuknews,,71.29055559999999,-156.788611
728,Alaska,Barrow,KBRW,FM,91.9,@kyuknews,,71.29055559999999,-156.788611
729,Alaska,Bethel,KYUK,AM,640.0,@kyuknews,,60.7922222,-161.7558334
730,California,Philo,KZYX,FM,90.7,@kzyxmusic,,39.0657324,-123.4450093
731,California,Willits,KZYZ,FM,91.5,@kzyzfm,,39.4096079,-123.3555656
732,Michigan,Lansing,WLNZ,FM,89.7,@LCCRadio,,42.732535,-84.5555347
733,Maine,Bangor,WMEH,FM,90.9,@MainePublic,,44.8016128,-68.7712257
734,Maine,Calais,WMED,FM,89.7,@MainePublic,,45.1889633,-67.27860380000001
735,Maine,Presque Isle,WMEM,FM,106.1,@mainepublic,,46.68115299999999,-68.01586139999999
736,Maine,Waterville,WMEW,FM,91.3,@mainepublic,,44.5520105,-69.6317121
737,Michigan,Ann Arbor,WUOM,FM,91.7,@MichiganRadio,,42.2808256,-83.7430378
738,Michigan,Flint,WFUM,FM,91.1,@michiganradio,,43.0125274,-83.6874562
739,Michigan,Grand Rapids,WVGR,FM,104.1,@michiganradio,,42.9633599,-85.6680863
740,Mississippi,Jackson,WMPN,FM,91.3,@MPBNews,@MPBOnline,32.2987573,-90.1848103
741,Maine,Lewiston,WMEA,FM,90.1,@MPBNnews,,44.100351,-70.21477639999999
742,Mississippi,Biloxi,WMAH,FM,90.3,@mpbonline,,30.3960318,-88.88530779999999
743,Mississippi,Lorman,WPRL,FM,91.7,@mpbonline,,31.8204396,-91.05010569999999
744,Mississippi,Meridian,WMAW,FM,88.1,@mpbonline,,32.3643098,-88.703656
745,Mississippi,Oxford,WMAV,FM,90.3,@mpbonline,,34.3664951,-89.5192484
746,Minnesota,Appleton,KNCM,FM,88.5,@mprnews,,45.1991667,-96.0244443
747,Minnesota,Bemidji,KNBJ,FM,91.3,@mprnews,,47.471573,-94.8826861
748,Minnesota,Buhl,WIRN,FM,92.5,@mprnews,,47.4935403,-92.77795990000001
749,Minnesota,Collegeville,KNSR,FM,88.9,@mprnews,,45.59388149999999,-94.3641026
750,Minnesota,Duluth,WSCN,FM,100.5,@mprnews,,46.78667189999999,-92.1004852
751,Minnesota,La Crescent,KXLC,FM,91.1,@mprnews,,43.82646949999999,-91.30355139999999
752,Minnesota,Moorhead,KCCD,FM,90.3,@mprnews,,46.8737648,-96.76780389999999
753,Minnesota,Rochester,KMSE,FM,88.7,@mprnews,,44.0121221,-92.4801989
754,Minnesota,St. Paul,KNOW,FM,91.1,@mprnews,,44.9537029,-93.0899578
755,Minnesota,St. Peters,KNGA,FM,91.5,@mprnews,,44.3258932,-93.955691
756,Minnesota,Worthington,KNSW,FM,91.7,@mprnews,,43.6210985,-95.59414360000001
757,Minnesota,Northfield,WCAL,FM,89.3,@mprnews,,44.4582983,-93.161604
758,Minnesota,Rochester,KZSE,FM,90.7,@mprnews,,44.0121221,-92.4801989
759,Kentucky,Morehead,WMKY,FM,90.3,@mspr903fm,,38.1839705,-83.4326841
760,Montana,Helena,KUHM,FM,91.7,@mtpublicradio,,46.5891452,-112.0391057
761,Montana,Kalispell,KUKL,FM,89.9,@mtpublicradio,,48.1919889,-114.316813
762,Montana,Missoula,KUFM,FM,89.1,@mtpublicradio,,46.8721284,-113.9940314
763,Georgia,Albany,WUNV,FM,91.7,@mygpb,,31.5785074,-84.15574099999999
764,Georgia,Brunswick,WWIO,FM,89.1,@mygpb,,31.1499528,-81.49148939999999
765,Georgia,Dahlonega,WNGU,FM,89.5,@mygpb,,34.5261465,-83.9843953
766,Georgia,Demorest,WPPR,FM,88.3,@mygpb,,34.565098,-83.5451724
767,Georgia,Ft. Gaines,WJWV,FM,90.9,@mygpb,,31.6090569,-85.0471505
768,Georgia,Valdosta,WWET,FM,91.7,@mygpb,,30.8327022,-83.2784851
769,Georgia,Waycross,WXVS,FM,90.1,@mygpb,,31.2135511,-82.3540178
770,Georgia,Macon,WDCO,FM,89.7,@mygpb,,32.8406946,-83.6324022
771,Nebraska,Hastings,KHNE,FM,89.1,@NETNebraska,,40.5862583,-98.38987259999999
772,Illinois,Springfield,WUIS,FM,91.9,@nprillinois,,39.78172130000001,-89.6501481
773,California,Chico,KCHO,FM,91.7,@nsprnews,,39.7284944,-121.8374777
774,California,Redding,KFPR,FM,88.9,@nsprnews,,40.5865396,-122.3916754
775,Idaho,Moscow,KRFA,FM,91.7,@nwpbclassical,,46.73238749999999,-117.000165
776,Alaska,Kenai,KDLL,FM,91.9,@pickle_hill,,60.55444439999999,-151.2583333
777,Kansas,Hutchinson,KHCC,FM,90.1,@radiokansas,,38.0608445,-97.92977429999999
778,Kansas,Salina,KHCD,FM,89.5,@radiokansas,,38.8402805,-97.61142369999999
779,Alaska,Sitka,KCAW,FM,104.7,@ravenradio,,57.0530556,-135.33
780,Louisana,Alexandria,KLSA,FM,90.7,@rrrpublicradio,,31.3112936,-92.4451371
781,Louisana,Shreveport,KDAQ,FM,89.9,@rrrpublicradio,,32.5251516,-93.7501789
782,Idaho,Bonners Ferry,KIBX,FM,92.1,@sprlocalnews,,48.6913257,-116.3163092
783,Louisana,Baton Rouge,WBRH,FM,90.3,@talk1073,,30.4514677,-91.18714659999999
784,Minnesota,Thief River Falls,KNTN,FM,102.7,@TRFRADIO,,48.1191353,-96.18114729999999
785,Illinois,LaSalle,WNIW,FM,91.5,@tristatespr,,41.3621503,-89.0418249
786,Illinois,Macomb,WIUM,FM,91.3,@tristatespr,,40.4592076,-90.67179709999999
787,Alabama,Dothan,WRWA,FM,88.7,@troypublicradio,,31.2232313,-85.3904888
788,Alabama,Montgomery/Troy,WTSU,FM,89.9,@troypublicradio,,32.3762523,-86.3108893
789,Georgia,Columbus,WTJB,FM,91.7,@TROYUNews,,32.4609764,-84.9877094
790,Georgia,Atlanta,WABE,FM,90.1,@wabenews,,33.7489954,-84.3879824
791,Massachusetts,Great Barrington,WAMQ,FM,105.1,@wamcradio,,42.1959798,-73.362008
792,District of Columbia,Washington,WAMU,FM,88.5,@wamu885,,38.9071923,-77.0368707
